round,test_loss,test_accuracy,train_loss,train_acc,num_clients,round_duration
1,4.603541494924811,1.46,3.877913013758546,14.35635947105256,16,52.79642915725708
2,4.4665816464001615,2.73,3.751318689559814,16.245480810428408,16,53.691704988479614
3,4.346434605272511,4.05,3.6894296206131134,16.771042134967082,16,68.10589003562927
4,4.169816475880297,6.01,3.61976018987621,17.50605104964624,16,65.24998497962952
5,4.044054444832138,8.01,3.540956799084518,19.18133875014248,16,68.74792098999023
6,3.978988940202737,8.74,3.477371508752668,21.56495394483975,16,65.58096170425415
7,3.904574877099146,9.74,3.4432018836020912,21.253672953734142,16,61.34598922729492
8,3.8274592266807073,9.96,3.4306253773088224,21.80275609439726,16,60.84185290336609
9,3.7740676221968252,12.26,3.3115610987621205,24.550715531125242,16,66.44666600227356
10,3.6731864923163307,13.4,3.2935768403509535,25.331336668628175,16,74.97141408920288
11,3.6256096393247192,15.28,3.191237831202063,28.088361143075016,16,66.71019291877747
12,3.558035723770721,15.03,3.1928288340254487,27.59714479475675,16,66.98263502120972
13,3.415205309662638,17.97,3.2159377001663954,27.53912854879267,16,76.44706463813782
14,3.368717392788658,20.09,3.081887766388637,30.75664435724163,16,63.716537952423096
15,3.2654307763787767,21.01,3.0858431011751364,29.967136190214582,16,76.26511001586914
16,3.291446064091936,20.54,2.984898173866684,32.844877294448665,16,65.67942094802856
17,3.2378873794893677,21.41,2.976128861502901,33.62996391457471,16,65.59373021125793
18,3.1922834130782114,22.14,2.943489862337108,33.72092752371975,16,67.89997887611389
19,3.064792774900605,24.89,2.9643126268562474,33.79379091124553,16,82.73306393623352
20,2.9906331919416598,26.32,2.857713882213709,36.54346779101394,16,75.06040573120117
21,2.988012178034722,25.85,2.7891072727093498,39.10029434658301,16,72.10632491111755
22,2.9624346932278405,26.38,2.77191855757033,39.208102667051236,16,71.25479412078857
23,2.841963218737252,29.38,2.7325569172300237,40.22810401164054,16,80.34484887123108
24,2.846138471289526,29.84,2.7524444725037363,39.49724333622659,16,66.80275917053223
25,2.814893112906927,30.45,2.6766558480975933,41.925415211726666,16,71.83111596107483
26,2.7781791324856915,30.57,2.6620978226527203,41.77419176188117,16,66.58427596092224
27,2.763494413110274,30.76,2.6337478612306047,42.704033526610544,16,70.06854772567749
28,2.679320380657534,31.99,2.6350361247056755,42.88912025347068,16,80.10139107704163
29,2.6871488878998577,32.04,2.583772091726975,43.880880200729365,16,67.20159006118774
30,2.6017036800143085,33.84,2.5495539116274317,44.85151354314691,16,80.11229801177979
31,2.587714484975308,34.07,2.565118587891597,44.67239839947265,16,68.38654327392578
32,2.5809871094136296,35.14,2.501652503642111,46.55408419241044,16,72.66521906852722
33,2.5799526081809514,34.19,2.431953230356031,48.06795439961859,16,67.52612686157227
34,2.5437680015081092,35.36,2.4532593394846023,48.33759428525782,16,63.94536519050598
